149.9	13992.7
149.8	14088.9
149.7	14330.2
149.6	14182.7
149.5	13893.1
149.4	14317.6
149.3	14212
149.2	14125.1
149.1	14109.4
149	14018.7
148.9	13952.5
148.8	14017.4
148.7	14105.1
148.6	14056.9
148.5	14008.6
148.4	14014.7
148.3	14002.2
148.2	14136.7
148.1	13949.8
148	14092.4
147.9	14045.3
147.8	13928.6
147.7	13827.3
147.6	13879.7
147.5	13973
147.4	13915.9
147.3	13861.6
147.2	13981.5
147.1	13942.2
147	13946
146.9	13797.2
146.8	13792.3
146.7	13868.8
146.6	13882.1
146.5	13958.8
146.4	13844.3
146.3	13781.2
146.2	13818.4
146.1	13755.3
146	13819.5
145.9	13882
145.8	13748
145.7	13803
145.6	13797.4
145.5	13745
145.4	13730.8
145.3	13734.1
145.2	13713
145.1	13673.6
145	13704.9
144.9	13656.9
144.8	13684.3
144.7	13696.9
144.6	13592.6
144.5	13540.3
144.4	13703
144.3	13645.4
144.2	13773.7
144.1	13578.9
144	13586.8
143.9	13553.9
143.8	13427.4
143.7	13703.8
143.6	13634.4
143.5	13587.5
143.4	13601.8
143.3	13543.7
143.2	13508.3
143.1	13505.9
143	13523.9
142.9	13477.7
142.8	13494.3
142.7	13491.7
142.6	13426.6
142.5	13520.8
142.4	13469.4
142.3	13424.6
142.2	13509.1
142.1	13416.7
142	13395.8
141.9	13353.8
141.8	13418.9
141.7	13398.1
141.6	13370.8
141.5	13278.8
141.4	13386.7
141.3	13387.6
141.2	13447.9
141.1	13396.1
141	13263.2
140.9	13259.2
140.8	13352
140.7	13250.2
140.6	13286.8
140.5	13273.5
140.4	13237.7
140.3	13237.6
140.2	13248.1
140.1	13298.2
140	13310.9
139.9	13211.4
139.8	13083.5
139.7	13278.4
139.6	13151.7
139.5	13070.7
139.4	13232.9
139.3	13243.4
139.2	13150.1
139.1	13105.7
139	13030.9
138.9	13248.2
138.8	13149
138.7	13060
138.6	13018.5
138.5	13181.7
138.4	13152.6
138.3	13070.8
138.2	13042
138.1	12988.3
138	12988.3
137.9	13009.3
137.8	13100.3
137.7	13063
137.6	12978.3
137.5	12983.4
137.4	12909.7
137.3	12950.1
137.2	13016.6
137.1	13061.9
137	12935
136.9	12806.9
136.8	13016.2
136.7	12983
136.6	12917.6
136.5	12871.2
136.4	12817.8
136.3	12826.6
136.2	12928.2
136.1	12925.5
136	12855.6
135.9	12806.3
135.8	12828.6
135.7	12828.2
135.6	12802.5
135.5	12821.9
135.4	12707.1
135.3	12824.2
135.2	12817.4
135.1	12778.5
135	12764.4
134.9	12739.6
134.8	12749.7
134.7	12745.3
134.6	12647.7
134.5	12730.7
134.4	12676.8
134.3	12663.2
134.2	12714.8
134.1	12758.9
134	12687.9
133.9	12627.2
133.8	12600.4
133.7	12605
133.6	12569.5
133.5	12643.8
133.4	12640.3
133.3	12581.9
133.2	12471.6
133.1	12476.7
133	12648.9
132.9	12671.2
132.8	12624.4
132.7	12505.6
132.6	12512
132.5	12513.1
132.4	12470.3
132.3	12489.6
132.2	12505.6
132.1	12434.1
132	12464
131.9	12544.6
131.8	12541.5
131.7	12468.4
131.6	12423.8
131.5	12400.5
131.4	12422.1
131.3	12333.2
131.2	12265.6
131.1	12418.2
131	12435.7
130.9	12497.7
130.8	12340.3
130.7	12435.1
130.6	12314
130.5	12269.2
130.4	12359.6
130.3	12376.7
130.2	12258.4
130.1	12211
130	12317.5
129.9	12305.2
